category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0005840	1.79745715068863e-08	0.999999996191352	24	220	ribosome	CC	0.000173317298851024	1
GO:0015935	2.08944639286435e-08	0.999999997591003	14	77	small ribosomal subunit	CC	0.000173317298851024	1
GO:0022627	2.26479613447631e-08	0.999999998260781	11	45	cytosolic small ribosomal subunit	CC	0.000173317298851024	1
GO:0002181	4.29208190558433e-08	0.99999999102272	22	160	cytoplasmic translation	BP	0.000246344040971013	1
GO:0003735	7.51148569202167e-08	0.999999985752339	19	165	structural constituent of ribosome	MF	0.000344897377034867	1
GO:0044391	1.35825638292376e-07	0.999999971708994	20	186	ribosomal subunit	CC	0.000519714167319397	1
GO:0022626	1.77331903866025e-07	0.999999972835156	15	103	cytosolic ribosome	CC	0.000581597978422316	1
GO:0032991	4.27995479365683e-07	1	266	6088	protein-containing complex	CC	0.00122824002690967	1
GO:1990904	1.86501912822705e-05	0.999991052553035	50	1135	ribonucleoprotein complex	CC	0.0475745657175963	1
GO:0016282	3.33643345139182e-05	0.999997869960196	6	17	eukaryotic 43S preinitiation complex	CC	0.0765978391770535	1
GO:0042788	4.73726343911506e-05	0.999995375680902	7	31	polysomal ribosome	CC	0.0967397497172571	1
GO:0070993	5.0565249438413e-05	0.999996452098735	6	18	translation preinitiation complex	CC	0.0967397497172571	1
GO:1902494	7.5721062628134e-05	0.999953722051893	95	1651	catalytic complex	CC	0.129269587920368	1
GO:0043043	7.95315207550484e-05	0.999960230887242	47	794	peptide biosynthetic process	BP	0.129269587920368	1
GO:0015980	8.74013236678917e-05	0.999967062271269	25	329	energy derivation by oxidation of organic compounds	BP	0.129269587920368	1
GO:0031974	0.000101352582218252	0.999926935289079	263	6037	membrane-enclosed lumen	CC	0.129269587920368	1
GO:0043233	0.000101352582218252	0.999926935289079	263	6037	organelle lumen	CC	0.129269587920368	1
GO:0070013	0.000101352582218252	0.999926935289079	263	6037	intracellular organelle lumen	CC	0.129269587920368	1
GO:0008135	0.000123521212128007	0.999972529785011	12	83	translation factor activity, RNA binding	MF	0.140073082547225	1
GO:0003723	0.000128067221693923	0.999920196082265	95	1958	RNA binding	MF	0.140073082547225	1
GO:0098798	0.000132584170447298	0.999954731404684	20	293	mitochondrial protein-containing complex	CC	0.140073082547225	1
GO:0043604	0.000134228060634156	0.99992838379623	53	926	amide biosynthetic process	BP	0.140073082547225	1
GO:0043603	0.000156997419093558	0.999909674170547	67	1234	cellular amide metabolic process	BP	0.156710728154344	1
GO:0071541	0.000167316879260057	0.999995007278075	4	7	eukaryotic translation initiation factor 3 complex, eIF3m	CC	0.160052538085517	1
GO:0016892	0.0002186469505446	0.999995862074924	3	7	endoribonuclease activity, producing 3'-phosphomonoesters	MF	0.198076609356107	1
GO:0006412	0.000224322320901593	0.999884868973914	44	763	translation	BP	0.198076609356107	1
GO:0005737	0.000266279276567431	0.999806878279022	493	12021	cytoplasm	CC	0.220162891188865	1
GO:0033290	0.000277245562230232	0.999980140003977	5	15	eukaryotic 48S preinitiation complex	CC	0.220162891188865	1
GO:0060699	0.000285115158663066	0.999996924999929	3	4	regulation of endoribonuclease activity	BP	0.220162891188865	1
GO:0005852	0.000287694343395154	0.999979222243761	5	15	eukaryotic translation initiation factor 3 complex	CC	0.220162891188865	1
GO:0005740	0.00033986393064618	0.999821903161382	44	789	mitochondrial envelope	CC	0.250915971991907	1
GO:0001732	0.000349739136847331	0.999973120293387	5	16	formation of cytoplasmic translation initiation complex	BP	0.250915971991907	1
GO:0090079	0.000365712869132007	0.999901064233583	13	106	translation regulator activity, nucleic acid binding	MF	0.254425334834322	1
GO:0031982	0.000387602844602606	0.999721178671102	186	4141	vesicle	CC	0.261723120776077	1
GO:0045333	0.000404088961735901	0.999858956233936	18	237	cellular respiration	BP	0.265059268100938	1
GO:1990748	0.000418549772434508	0.999898669644445	11	112	cellular detoxification	BP	0.266670365369791	1
GO:1901566	0.000433152836263404	0.999721345383539	91	1809	organonitrogen compound biosynthetic process	BP	0.266670365369791	1
GO:0072320	0.000441391840929177	0.999994454791461	3	4	volume-sensitive chloride channel activity	MF	0.266670365369791	1
GO:0004522	0.000487712392197412	0.999997041718633	2	4	ribonuclease A activity	MF	0.287100028206877	1
GO:0070062	0.000580928029339052	0.999611914838173	105	2205	extracellular exosome	CC	0.333008622439156	1
GO:0031966	0.000632384629016554	0.999666025912376	41	740	mitochondrial membrane	CC	0.333008622439156	1
GO:1903561	0.000640087585828911	0.999570140996613	106	2300	extracellular vesicle	CC	0.333008622439156	1
GO:0043230	0.000645712410766268	0.99956624268003	106	2301	extracellular organelle	CC	0.333008622439156	1
