# BUSCO version is: 5.8.0 
# The lineage dataset is: eukaryota_odb12 (Creation date: 2025-07-01, number of genomes: 456, number of BUSCOs: 129)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
88at2759	Complete	NODE_170_length_37533_cov_5.509792	35069	35710	+	77.3	89	https://www.orthodb.org/?query=88at2759	ribosomal protein
844at2759	Complete	NODE_274_length_30748_cov_5.141889	4609	15538	+	1052.2	701	https://www.orthodb.org/?query=844at2759	DNA replication licensing factor
1650at2759	Complete	NODE_2130_length_7771_cov_5.183774	2147	7088	+	203.1	202	https://www.orthodb.org/?query=1650at2759	Exosome complex
1928at2759	Complete	NODE_1289_length_12685_cov_5.334838	5048	11789	+	665.0	501	https://www.orthodb.org/?query=1928at2759	phosphoacetylglucosamine mutase
2083at2759	Complete	NODE_154_length_38934_cov_5.202294	38435	36676	-	377.6	268	https://www.orthodb.org/?query=2083at2759	peptidyl-prolyl cis-trans isomerase
2516at2759	Missing
2877at2759	Complete	NODE_1522_length_11022_cov_5.819185	10644	9395	-	250.1	177	https://www.orthodb.org/?query=2877at2759	methyltransferase
3370at2759	Complete	NODE_303_length_29582_cov_5.672097	6295	4241	-	338.8	353	https://www.orthodb.org/?query=3370at2759	ATP-dependent RNA helicase
3763at2759	Complete	NODE_1205_length_13471_cov_5.164729	521	6054	+	510.4	439	https://www.orthodb.org/?query=3763at2759	DNA polymerase
4249at2759	Complete	NODE_2607_length_5833_cov_5.278816	595	4799	+	338.7	236	https://www.orthodb.org/?query=4249at2759	ubiquinone biosynthesis
6022at2759	Complete	NODE_55_length_54216_cov_4.837448	48901	49646	+	166.4	160	https://www.orthodb.org/?query=6022at2759	Pre-mRNA-splicing factor
15082at2759	Complete	NODE_297_length_29891_cov_5.177604	20651	12691	-	594.5	489	https://www.orthodb.org/?query=15082at2759	Eukaryotic translation initiation factor 3 subunit
15808at2759	Complete	NODE_430_length_24865_cov_5.372592	9567	10527	+	86.6	51	https://www.orthodb.org/?query=15808at2759	Tryptophan--trna ligase
17948at2759	Missing
18786at2759	Complete	NODE_2374_length_6684_cov_4.384975	5978	3278	-	68.5	221	https://www.orthodb.org/?query=18786at2759	Conserved oligomeric Golgi complex, subunit 5
19740at2759	Complete	NODE_417_length_25217_cov_6.553533	7614	9559	+	184.7	309	https://www.orthodb.org/?query=19740at2759	DNA methyltransferase 1 associated protein 1
20844at2759	Complete	NODE_1184_length_13677_cov_5.228160	351	1848	+	131.1	262	https://www.orthodb.org/?query=20844at2759	Leo1
24948at2759	Complete	NODE_804_length_17778_cov_4.767985	17396	13625	-	224.7	152	https://www.orthodb.org/?query=24948at2759	anaphase promoting complex subunit
25498at2759	Complete	NODE_679_length_19834_cov_5.299055	9720	8509	-	294.4	262	https://www.orthodb.org/?query=25498at2759	eukaryotic translation initiation factor 3 subunit
26184at2759	Complete	NODE_5_length_89189_cov_5.550217	80076	87320	+	1152.5	895	https://www.orthodb.org/?query=26184at2759	vacuolar sorting
26970at2759	Complete	NODE_653_length_20468_cov_5.847695	7093	14794	+	423.5	501	https://www.orthodb.org/?query=26970at2759	RRN3
27543at2759	Fragmented	NODE_2608_length_5833_cov_4.578574	645	1387	+	170.9	183	https://www.orthodb.org/?query=27543at2759	protein BCP1 protein
28947at2759	Complete	NODE_376_length_26628_cov_5.310691	15272	20705	+	658.9	676	https://www.orthodb.org/?query=28947at2759	CCAAT/enhancer-binding protein
